Rk,Age,G,GS,MP,FG,FGA,FGP,3P,3PA,3PP,2P,2PA,2PP,EFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG,labels
92,28,23,23,33.5,8.5,17.3,0.489,3.9,9.7,0.401,4.6,7.7,0.599,0.6,5.1,5.5,0.929,0.6,3.4,4.0,5.8,1.8,0.3,3.0,2.6,25.9,0
99,27,23,0,16.6,2.0,5.4,0.376,0.3,1.3,0.226,1.7,4.1,0.426,0.404,1.3,1.5,0.912,0.2,1.5,1.7,3.0,0.4,0.0,1.5,1.5,5.7,2
100,26,20,20,28.4,3.3,7.9,0.418,1.2,3.1,0.371,2.2,4.8,0.448,0.491,0.9,1.1,0.857,0.4,2.3,2.7,5.7,0.9,0.1,2.1,2.1,8.7,1
106,30,3,0,13.3,1.3,3.3,0.4,0.3,1.3,0.25,1.0,2.0,0.5,0.45,1.3,1.3,1.0,0.3,1.3,1.7,1.3,0.0,0.0,0.3,0.7,4.3,2
107,30,17,17,33.5,6.5,14.5,0.445,1.5,3.6,0.41,5.0,10.9,0.457,0.496,3.6,4.5,0.792,0.9,2.9,3.8,6.5,1.1,0.2,2.9,2.9,18.0,0
111,22,22,5,17.7,1.5,3.8,0.393,0.3,0.7,0.4,1.2,3.1,0.391,0.429,0.9,1.4,0.645,0.4,1.8,2.1,2.9,1.2,0.3,1.4,2.3,4.2,2
118,22,15,0,8.3,1.1,2.8,0.405,0.3,0.7,0.364,0.9,2.1,0.419,0.452,0.1,0.1,0.5,0.3,0.5,0.7,1.3,0.3,0.0,0.9,1.3,2.6,2
119,21,23,11,21.0,2.4,6.2,0.392,0.7,2.7,0.262,1.7,3.6,0.488,0.448,1.0,1.1,0.846,0.7,1.7,2.3,1.7,0.2,0.3,1.0,2.4,6.5,1
121,30,2,0,17.5,2.0,6.0,0.333,2.0,4.5,0.444,0.0,1.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,1.5,4.5,1.0,0.0,1.5,0.5,6.0,2
123,21,8,0,9.1,1.0,3.1,0.32,0.0,0.3,0.0,1.0,2.9,0.348,0.32,1.0,1.3,0.8,0.1,0.9,1.0,1.9,0.0,0.1,0.9,0.8,3.0,2
125,32,22,1,17.0,2.1,4.7,0.447,0.7,1.7,0.432,1.4,3.0,0.455,0.524,0.2,0.3,0.667,0.3,1.5,1.7,1.4,0.7,0.3,0.8,1.5,5.1,2
126,23,10,0,15.1,1.8,4.9,0.367,0.8,2.7,0.296,1.0,2.2,0.455,0.449,1.0,1.6,0.625,0.4,0.8,1.2,1.7,0.2,0.2,1.4,1.1,5.4,2
131,26,23,22,30.6,3.7,8.9,0.422,0.8,2.3,0.333,3.0,6.5,0.453,0.466,2.1,2.6,0.814,0.6,2.8,3.4,7.3,1.0,0.2,2.6,2.7,10.3,1
134,25,23,0,21.3,3.6,9.1,0.392,1.8,4.7,0.38,1.8,4.4,0.406,0.49,0.5,0.7,0.75,0.4,2.1,2.5,1.6,1.1,0.0,0.7,1.4,9.4,1
