Rk,Player,PlayerID,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
92,Stephen Curry,curryst01,PG,28,GSW,23,23,33.5,8.5,17.3,.489,3.9,9.7,.401,4.6,7.7,.599,.600,5.1,5.5,.929,0.6,3.4,4.0,5.8,1.8,0.3,3.0,2.6,25.9
93,Troy Daniels,danietr01,SG,25,MEM,13,2,20.9,3.4,9.1,.373,1.9,5.3,.362,1.5,3.8,.388,.479,1.0,1.2,.813,0.2,1.0,1.2,1.0,0.3,0.2,0.5,1.2,9.7
94,Anthony Davis,davisan02,PF,23,NOP,22,22,38.1,11.0,22.2,.498,0.6,2.3,.260,10.5,19.9,.525,.511,8.7,10.5,.823,1.9,9.6,11.5,2.2,1.7,2.8,2.3,2.0,31.4
95,Deyonta Davis,davisde01,C,20,MEM,19,0,8.0,0.9,1.6,.548,0.0,0.0,,0.9,1.6,.548,.548,0.3,0.5,.600,0.7,1.2,1.9,0.1,0.1,0.6,0.4,1.4,2.1
96,Ed Davis,davised01,PF,27,POR,24,10,18.8,1.6,3.3,.487,0.0,0.0,,1.6,3.3,.487,.487,0.9,1.5,.600,2.2,3.2,5.4,0.6,0.3,0.8,0.9,3.3,4.0
97,Dewayne Dedmon,dedmode01,C,27,SAS,17,1,14.5,1.6,3.2,.519,0.0,0.0,,1.6,3.2,.519,.519,0.8,1.2,.650,1.7,4.0,5.7,0.2,0.5,1.3,0.5,2.4,4.1
98,Sam Dekker,dekkesa01,SF,22,HOU,22,0,18.6,2.7,5.4,.504,0.9,2.2,.388,1.9,3.2,.586,.584,0.4,0.6,.643,1.3,2.6,3.9,1.2,0.6,0.3,0.7,1.4,6.7
99,Malcolm Delaney,delanma01,PG,27,ATL,23,0,16.6,2.0,5.4,.376,0.3,1.3,.226,1.7,4.1,.426,.404,1.3,1.5,.912,0.2,1.5,1.7,3.0,0.4,0.0,1.5,1.5,5.7
100,Matthew Dellavedova,dellama01,PG,26,MIL,20,20,28.4,3.3,7.9,.418,1.2,3.1,.371,2.2,4.8,.448,.491,0.9,1.1,.857,0.4,2.3,2.7,5.7,0.9,0.1,2.1,2.1,8.7
101,Luol Deng,denglu01,SF,31,LAL,24,24,24.4,2.5,7.4,.337,0.7,2.5,.283,1.8,4.9,.364,.385,0.9,1.3,.710,1.2,3.8,5.0,1.3,1.0,0.2,0.8,1.3,6.6
102,DeMar DeRozan,derozde01,SG,27,TOR,22,22,35.9,10.0,20.9,.476,0.5,1.8,.282,9.5,19.1,.494,.488,7.6,9.0,.839,1.0,4.4,5.4,4.4,1.3,0.0,2.6,1.9,28.0
103,Cheick Diallo,diallch01,PF,20,NOP,2,0,3.5,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
104,Boris Diaw,diawbo01,PF,34,UTA,15,12,21.6,2.1,4.7,.437,0.4,1.8,.222,1.7,2.9,.568,.479,0.4,0.5,.857,0.7,1.8,2.5,2.2,0.2,0.0,1.2,1.7,4.9
